Id,Designator,Footprint,Quantity,Comment,Supplier and ref
1,"C8,C3,C2,C5,C7,C17,C12,C9,C4,C11,C6",C_0402_1005Metric,11,0.1uF,
2,J1,USB_A_PCB_Edge_receptacle,1,USB_conn,
3,SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
4,J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
5,"J2,J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20,
6,"R6,R5",R_0402_1005Metric,2,1K,
7,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
8,"C15,C16",C_0402_1005Metric,2,33pF,
9,U2,SOT-23,1,MCP1700x-330xxTT,
10,"R3,R4",R_0402_1005Metric,2,27,
11,"C1,C10",C_0402_1005Metric,2,1uF,
12,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,
13,"C14,C13",C_0603_1608Metric,2,10uF,
14,R7,R_0402_1005Metric,1,10K,
15,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,